ID,"First Name","Last Name",Email,Company,Project,Salary,Bonus,"Insurance Amount","Total Cost","Employment Start","Employment End"
1,Ilene,Rice,monahan.phoebe@gmail.com,"Goldner LLC","Search Engine Bandits",0.1,473.321,189.3284,662,1985-02-25,2021-02-25
2,Marianna,Jones,mthompson@gmail.com,"Jones, Hahn and Ritchie","Static Startup",3.57,0.028,0.0112,3,1985-03-14,2020-03-14
3,Lavon,Braun,lia.huel@gmail.com,"Hamill, Gislason and Brakus","Gob Geeklords",850.53,2541761.4965,1016704.5986,3559316,1979-12-26,2014-12-26
4,Ericka,Kutch,stokes.pete@yahoo.com,"Ullrich Ltd","Code Poltergeists",1.13,390.759,156.3036,547,2007-01-17,2014-01-17
5,Esmeralda,Barrows,wilderman.noemy@spinka.com,"Eichmann Inc","Gob Geeklords",47458.63,0.261,0.1044,47458,1982-09-09,2013-09-09
6,Clint,Ankunding,kutch.ray@gmail.com,"Botsford Ltd","White Feather",1565.97,0.1055,0.0422,1566,1976-07-11,1996-07-11
7,Idell,Hickle,irma.bergnaum@jones.com,Schaden-Bergstrom,"Code Poltergeists",725797.56,14876.277,5950.5108,746623,1997-10-30,1999-10-30
8,Betsy,Jenkins,lsawayn@gmail.com,"Pagac, Homenick and Klein","Software Chasers",5386035.34,33939.0815,13575.6326,5433549,2002-12-21,2027-12-21
9,Drake,Heidenreich,kassulke.kendra@bartoletti.com,"Cruickshank, Witting and Witting",Wombat,2.78,1.832,0.7328,4,1992-02-22,1997-02-22
10,Moises,Gleason,becker.filomena@hotmail.com,"Rippin Ltd","Robust Routine",51935336.23,2096.12,838.448,51938270,1985-11-13,2026-11-13
11,Rebeka,Wilkinson,white.kamren@gmail.com,"Corwin, Conroy and Rempel","Wide Stringer",349578185.96,1027.6315,411.0526,349579624,2013-07-16,2042-07-16
12,Libbie,Hodkiewicz,glover.jameson@dibbert.com,"Schiller Ltd","Static Startup",55908.3,3.363,1.3452,55912,2001-01-31,2021-01-31
13,Jacinthe,Schroeder,frida49@larson.net,"Adams Ltd","Hex Clan",39558.5,52039.441,20815.7764,112412,1990-04-15,1997-04-15
14,Gilda,Towne,jerald07@gmail.com,"Lindgren, Dietrich and Kautzer","Search Engine Bandits",35618.94,10.9365,4.3746,35633,1989-05-18,1998-05-18
15,Hilbert,Gislason,daniel.micaela@hotmail.com,Hamill-Ledner,"White Feather",46.53,306.977,122.7908,475,1995-05-07,2014-05-07
16,Kale,Hoeger,antonietta33@gmail.com,"Grimes, Tillman and Corwin","Search Engine Bandits",16451154.2,0.087,0.0348,16451154,2009-07-24,2037-07-24
17,Anne,O'Reilly,cassidy36@yahoo.com,O'Hara-Labadie,"Search Engine Bandits",51206.97,16722.651,6689.0604,74618,2014-12-06,2028-12-06
18,Gladyce,Dibbert,reilly.ismael@gmail.com,Champlin-Effertz,Wombat,1277.26,1930017.731,772007.0924,2703301,2002-05-04,2018-05-04
19,Modesto,Muller,gibson.tess@yahoo.com,Kautzer-Goodwin,Wombat,1422643.98,2.7705,1.1082,1422647,2004-03-23,2015-03-23
20,Merritt,Pagac,jairo.raynor@huel.com,Crooks-Considine,"Open Source Pundits",64507.61,15.412,6.1648,64529,2017-12-22,2037-12-22
21,Americo,Wisozk,gaetano.schmidt@gmail.com,"Hoeger and Sons","Java Dalia",8.08,4836832.6315,1934733.0526,6771573,1996-08-23,2016-08-23
